filename,x,y,mean_brightness,median_brightness,std_brightness,min_brightness,max_brightness,valid_ratio,valid_mean,valid_median,valid_std,is_valid,region_type
0000_0984_0999.png,984,999,58.842283255208336,38.0,64.19090449293515,3,255,0.5787229817708334,92.37573059847443,61.0,66.52479356282515,True,half_bg
0000_0984_1000.png,984,1000,53.41452989583333,36.0,56.249886938236834,3,253,0.5572380338541667,85.70666693367056,60.0,57.4199634293821,True,half_bg
0000_0985_0997.png,985,997,40.283745078125,15.0,50.43001488507383,3,235,0.3984878515625,81.75920173747977,57.0,59.04691218857845,True,half_bg
0000_0985_0998.png,985,998,82.48340670572917,40.0,81.35760256968348,4,246,0.6132717057291667,124.0466277744832,76.0,79.19766047642702,True,normal
0000_0985_0999.png,985,999,80.90324037760416,34.0,81.0252234679497,4,245,0.5228156510416667,138.44581386015756,190.0,74.4313856783539,True,half_bg
0000_0985_1000.png,985,1000,81.8055094921875,36.0,81.42691515035636,4,237,0.5430668880208334,135.83111076542352,191.0,75.82556603303695,True,half_bg
0000_0985_1001.png,985,1001,79.33734776041666,41.0,77.85141744457302,4,245,0.6322035286458333,116.31400318137428,66.0,76.30645729146073,True,normal
0000_0985_1002.png,985,1002,36.590012591145836,15.0,46.39971114312812,3,230,0.35949247395833334,79.0253110015994,58.0,56.084957230089785,True,half_bg
0000_0986_0997.png,986,997,80.61311524739584,38.0,81.22576989650125,4,255,0.5763392578125,127.56889436978251,121.0,78.61880466304692,True,half_bg
0000_0986_0998.png,986,998,82.53763473958334,31.0,81.2699257512961,4,255,0.5093855338541666,144.20157873013312,192.0,71.64188215090194,True,half_bg
0000_0986_0999.png,986,999,80.47881998697916,31.0,79.86321907904453,4,251,0.5025213151041666,142.0785121132792,190.0,70.56589981075722,True,half_bg
0000_0986_1000.png,986,1000,79.38315834635416,30.0,78.88290916025623,4,242,0.497633828125,141.12819795282246,189.0,69.49456669607815,True,half_bg
0000_0986_1001.png,986,1001,81.81663029947917,31.0,80.70125534567624,4,250,0.50851078125,143.0916412426523,190.0,71.31471344612366,True,half_bg
0000_0986_1002.png,986,1002,77.06950595052083,41.0,75.69019250804293,4,254,0.6213490364583333,114.30332553458216,66.0,74.23504621708064,True,normal
0000_0987_0996.png,987,996,65.9627882421875,36.0,69.54489329170295,3,237,0.5570404036458333,106.57913730403168,64.0,70.03186865882017,True,half_bg
0000_0987_0997.png,987,997,80.82713252604167,30.0,80.13330286634086,4,255,0.49865880208333335,143.65890000876308,191.0,70.11978829160304,True,half_bg
