filename,x,y,mean_brightness,std_brightness,min_brightness,max_brightness,valid_ratio,valid_mean,valid_std,is_valid,region_type
0000_0983_0998.png,983,998,32.674793506378826,7.495258977108534,23,255,0.6469452164020945,34.93354362861677,8.454881187251342,True,pure_bg
0000_0983_0999.png,983,999,45.94489620127577,39.27119385699261,23,255,0.702638562790891,53.239620155359404,44.89341673579201,True,half_bg
0000_0983_1000.png,983,1000,55.89322625342836,54.88641212493433,25,255,0.715135472074468,66.6878455491655,61.669237111322246,True,half_bg
0000_0983_1001.png,983,1001,33.18095722604305,10.947223195815184,23,255,0.6443939858294548,35.76581452811819,12.893221726994833,True,pure_bg
0000_0984_0996.png,984,996,31.233428942091923,3.412651327271018,23,255,0.5864928939494681,33.23848290255371,2.962723883474258,True,pure_bg
0000_0984_0997.png,984,997,52.203924261864195,37.096718495094215,24,255,0.7060087682845745,61.989294387763664,40.288172614278956,True,half_bg
0000_0984_0998.png,984,998,82.01550003376413,42.68911230197101,24,255,0.9567162436627327,84.4529214138452,42.04145453977813,True,normal
0000_0984_0999.png,984,999,99.92765354886969,46.025957235364764,26,255,0.9992367618641955,99.9813813648884,46.00243835637961,True,normal
0000_0984_1000.png,984,1000,104.48995295098487,46.78953923135855,26,255,0.9981472064079122,104.62981344023713,46.72007678815787,True,normal
0000_0984_1001.png,984,1001,84.0093186528632,46.68245113226305,24,255,0.910899658203125,89.46674762244324,45.36543537660033,True,normal
0000_0984_1002.png,984,1002,50.29613634474734,39.441994145628975,23,255,0.6888391373005319,60.12901028053734,44.12537866479049,True,half_bg
0000_0984_1003.png,984,1003,35.196948826566654,7.613994388445843,23,136,0.6799796116605719,38.40966825863197,7.2217874902693575,True,pure_bg
0000_0985_0996.png,985,996,68.35378963389296,54.10628334212897,23,255,0.7882281104554522,79.06024587762879,56.323911755866,True,half_bg
0000_0985_0997.png,985,997,99.66855153185256,49.78114380016334,27,255,0.9997910390001662,99.68317185316096,49.776070913941915,True,normal
0000_0985_0998.png,985,998,93.53769971482298,45.30496124689132,28,255,0.9999695733252992,93.53963853387172,45.30428697834998,True,normal
0000_0985_0999.png,985,999,100.70829561274103,49.00930684442807,28,255,0.9999690408909574,100.71049043448195,49.00847799043419,True,normal
0000_0985_1000.png,985,1000,92.17928564193402,46.49238676674656,28,255,0.9999818193151596,92.18041890358089,46.4920496832148,True,normal
0000_0985_1001.png,985,1001,93.74084351884558,43.800356496270425,28,255,0.9999746119722407,93.74246599589924,43.79972881910978,True,normal
0000_0985_1002.png,985,1002,98.36105514201712,51.66176473351964,27,255,0.9982872885846077,98.47940522300749,51.62690964562547,True,normal
0000_0985_1003.png,985,1003,60.04987894261137,50.450502442728244,23,255,0.8042949010970745,67.71423674094247,53.51677344633436,True,half_bg
0000_0986_0995.png,986,995,61.21003067341257,42.833087118551425,23,255,0.8556408821268284,66.7524383141174,43.944969807778755,True,half_bg
0000_0986_0996.png,986,996,95.16569135949966,48.420724678671995,27,255,0.9995472490026596,95.19539695342867,48.411562115422896,True,normal
0000_0986_0997.png,986,997,93.63916458454538,46.42321281684798,27,255,0.9994953950922539,93.67139781552471,46.41275280781725,True,normal
0000_0986_0998.png,986,998,91.52605796002327,45.54052701905236,27,255,0.9987368060172872,91.60420818622593,45.5162331853326,True,normal
0000_0986_0999.png,986,999,95.73252903715093,48.67615938983137,27,255,0.9988647590799534,95.8075757545619,48.652852037707405,True,normal
0000_0986_1000.png,986,1000,92.93881995667803,45.58603204928557,26,255,0.9987193006150266,93.02020650356057,45.55851837720868,True,normal
0000_0986_1001.png,986,1001,91.02649016684674,45.44241842373351,26,255,0.997808240525266,91.16265667260451,45.399206327482325,True,normal
0000_0986_1002.png,986,1002,93.50819437229887,47.17874576541937,25,255,0.9976775733460771,93.65903513189981,47.12977217411033,True,normal
0000_0986_1003.png,986,1003,90.85133537130153,48.66180473774224,25,255,0.9877073247381981,91.62431944061788,48.46463520317396,True,normal
0000_0986_1004.png,986,1004,45.71788157361619,39.81749363560088,23,255,0.6648829163896277,54.42504967267442,46.44822820112566,True,half_bg
0000_0987_0994.png,987,994,35.772266702854886,20.39247763650486,23,255,0.6403394463721742,39.86549133791656,24.532548876182677,True,pure_bg
0000_0987_0995.png,987,995,92.48548421656832,50.72493646350048,25,255,0.9821980577834108,93.63817857492992,50.44799447719259,True,normal
0000_0987_0996.png,987,996,93.41278295638713,45.76048369470428,26,255,0.9998960194689163,93.4194483268933,45.75819373322958,True,normal
0000_0987_0997.png,987,997,97.03642776813913,47.77072451959912,28,255,0.9999836243974402,97.03752901538721,47.770340489873256,True,normal
0000_0987_0998.png,987,998,94.77933474276928,45.83919729182613,27,255,0.9999375363613697,94.78340732252043,45.83773242498583,True,normal
0000_0987_0999.png,987,999,99.10262234302277,47.873245922092835,27,255,0.9999187453249667,99.10826272388037,47.87110151053455,True,normal
0000_0987_1000.png,987,1000,95.06070774808843,45.71509149352359,27,255,0.9999678851188497,95.06280434875688,45.71432845966358,True,normal
0000_0987_1001.png,987,1001,94.45562545451712,44.78616834624283,26,255,0.999931043259641,94.46009381360838,44.78447970983877,True,normal
