filename,x,y,valid_mean
0000_0983_0997.png,983,997,36.20571506185892
0000_0983_0998.png,983,998,103.48146360711675
0000_0983_0999.png,983,999,120.05535386764713
0000_0983_1000.png,983,1000,121.34818682383637
0000_0983_1001.png,983,1001,109.4211229526241
0000_0983_1002.png,983,1002,37.57721964519456
0000_0984_0996.png,984,996,64.00792522237718
0000_0984_0997.png,984,997,123.45892452591382
0000_0984_0998.png,984,998,138.31335881509398
0000_0984_0999.png,984,999,138.61274897765176
0000_0984_1000.png,984,1000,139.8217181691714
0000_0984_1001.png,984,1001,138.41222042739227
0000_0984_1002.png,984,1002,126.59133953127673
0000_0984_1003.png,984,1003,73.62055220483138
0000_0985_0995.png,985,995,47.1569593029473
0000_0985_0996.png,985,996,126.15282834069376
0000_0985_0997.png,985,997,141.84861922800212
0000_0985_0998.png,985,998,141.4026349262883
0000_0985_0999.png,985,999,140.5259979438061
0000_0985_1000.png,985,1000,141.297393963038
0000_0985_1001.png,985,1001,139.95711525143545
0000_0985_1002.png,985,1002,138.59058400235386
0000_0985_1003.png,985,1003,125.12584950535792
0000_0985_1004.png,985,1004,52.35505898515864
0000_0986_0995.png,986,995,119.24947024642474
0000_0986_0996.png,986,996,142.53085549461423
0000_0986_0997.png,986,997,144.83275480669118
0000_0986_0998.png,986,998,143.0597260096493
0000_0986_0999.png,986,999,141.9855797719923
0000_0986_1000.png,986,1000,143.74849955189492
0000_0986_1001.png,986,1001,142.47700209195673
0000_0986_1002.png,986,1002,142.54677899483784
0000_0986_1003.png,986,1003,142.62798529330612
0000_0986_1004.png,986,1004,119.47560443586438
0000_0987_0994.png,987,994,80.88739528708871
0000_0987_0995.png,987,995,138.20791438634242
0000_0987_0996.png,987,996,142.9466977708314
0000_0987_0997.png,987,997,143.57939236726105
0000_0987_0998.png,987,998,142.69956623142835
0000_0987_0999.png,987,999,142.5133380411363
0000_0987_1000.png,987,1000,143.69415301876455
0000_0987_1001.png,987,1001,142.50344538233685
0000_0987_1002.png,987,1002,143.13246905683948
0000_0987_1003.png,987,1003,145.0226249793914
0000_0987_1004.png,987,1004,138.23734714574059
0000_0987_1005.png,987,1005,96.01191618329658
0000_0988_0994.png,988,994,127.04326038913874
0000_0988_0995.png,988,995,144.63847005555732
0000_0988_0996.png,988,996,144.33326041787387
0000_0988_0997.png,988,997,145.07340422717266
0000_0988_0998.png,988,998,143.9364635952985
0000_0988_0999.png,988,999,143.05350789422414
0000_0988_1000.png,988,1000,144.2889847116351
0000_0988_1001.png,988,1001,143.1523847966415
0000_0988_1002.png,988,1002,143.51558966690672
0000_0988_1003.png,988,1003,145.65757593969332
0000_0988_1004.png,988,1004,145.0533718810978
0000_0988_1005.png,988,1005,130.17322400412
0000_0989_0993.png,989,993,59.77047070983281
0000_0989_0994.png,989,994,138.6200703893771
0000_0989_0995.png,989,995,145.68561421461646
0000_0989_0996.png,989,996,144.76522344930436
0000_0989_0997.png,989,997,145.32149573899258
0000_0989_0998.png,989,998,144.42856367036543
0000_0989_0999.png,989,999,143.85556255891476
0000_0989_1000.png,989,1000,144.66414677173344
0000_0989_1001.png,989,1001,143.79165748938323
0000_0989_1002.png,989,1002,144.4537660836004
0000_0989_1003.png,989,1003,145.29359444830436
0000_0989_1004.png,989,1004,144.8451277497544
0000_0989_1005.png,989,1005,137.4932171827787
0000_0989_1006.png,989,1006,70.08661398631648
0000_0990_0993.png,990,993,114.94317302679883
0000_0990_0994.png,990,994,140.795649527382
0000_0990_0995.png,990,995,144.8708515024422
0000_0990_0996.png,990,996,144.39631990431775
0000_0990_0997.png,990,997,144.80598192945416
0000_0990_0998.png,990,998,144.09417379986655
0000_0990_0999.png,990,999,144.18377851593425
0000_0990_1000.png,990,1000,144.77745587481826
0000_0990_1001.png,990,1001,143.96495630099267
0000_0990_1002.png,990,1002,144.71353242939415
0000_0990_1003.png,990,1003,145.96792569574663
0000_0990_1004.png,990,1004,145.54889894700474
0000_0990_1005.png,990,1005,146.19054186395056
0000_0990_1006.png,990,1006,119.27036035261581
0000_0991_0993.png,991,993,132.4387751127574
0000_0991_0994.png,991,994,148.17694347248042
0000_0991_0995.png,991,995,145.87419540494818
0000_0991_0996.png,991,996,145.8478654504221
0000_0991_0997.png,991,997,145.76605703756513
0000_0991_0998.png,991,998,144.16822235812558
0000_0991_0999.png,991,999,144.44975189324884
0000_0991_1000.png,991,1000,145.12734662507714
0000_0991_1001.png,991,1001,144.32215596523622
0000_0991_1002.png,991,1002,145.86732134207483
0000_0991_1003.png,991,1003,147.73086363257528
0000_0991_1004.png,991,1004,146.42607020482777
0000_0991_1005.png,991,1005,148.5188908986006
0000_0991_1006.png,991,1006,126.7332289231649
0000_0992_0992.png,992,992,33.97528329974282
0000_0992_0993.png,992,993,138.70758590190817
0000_0992_0994.png,992,994,147.63142824260618
0000_0992_0995.png,992,995,145.60456998112463
0000_0992_0996.png,992,996,145.64826516691207
0000_0992_0997.png,992,997,145.50864061441058
0000_0992_0998.png,992,998,144.62434942283124
0000_0992_0999.png,992,999,145.60517489678895
0000_0992_1000.png,992,1000,145.9343229476765
0000_0992_1001.png,992,1001,144.3001354432518
0000_0992_1002.png,992,1002,145.3922700314988
0000_0992_1003.png,992,1003,146.23443250186327
0000_0992_1004.png,992,1004,145.20871558081743
0000_0992_1005.png,992,1005,147.2622859320942
0000_0992_1006.png,992,1006,130.94349251744288
0000_0992_1007.png,992,1007,33.694167227456255
0000_0993_0992.png,993,992,89.42010809338599
0000_0993_0993.png,993,993,144.90457451623013
0000_0993_0994.png,993,994,147.81163717450863
0000_0993_0995.png,993,995,145.77772759202006
0000_0993_0996.png,993,996,145.97853771258517
0000_0993_0997.png,993,997,146.7881822038193
0000_0993_0998.png,993,998,146.5911125366343
0000_0993_0999.png,993,999,147.44113641908504
0000_0993_1000.png,993,1000,147.7372010954483
0000_0993_1001.png,993,1001,145.8320504066444
0000_0993_1002.png,993,1002,146.74752590700672
0000_0993_1003.png,993,1003,148.43243573500257
0000_0993_1004.png,993,1004,147.06103028226252
0000_0993_1005.png,993,1005,148.408674743427
0000_0993_1006.png,993,1006,146.3069455813177
0000_0993_1007.png,993,1007,88.45526605216799
0000_0994_0992.png,994,992,124.686192289015
0000_0994_0993.png,994,993,147.88574770732467
0000_0994_0994.png,994,994,148.05494086492956
0000_0994_0995.png,994,995,146.04632875695657
0000_0994_0996.png,994,996,145.7606639405443
0000_0994_0997.png,994,997,145.8417998632107
0000_0994_0998.png,994,998,145.80074167011674
0000_0994_0999.png,994,999,146.92628476275897
0000_0994_1000.png,994,1000,147.2039905582843
0000_0994_1001.png,994,1001,145.99486444982563
0000_0994_1002.png,994,1002,147.13028157676922
0000_0994_1003.png,994,1003,147.66925874564302
0000_0994_1004.png,994,1004,146.75218200920673
0000_0994_1005.png,994,1005,147.98045715141348
0000_0994_1006.png,994,1006,149.33207160564064
0000_0994_1007.png,994,1007,111.35690448366908
0000_0995_0992.png,995,992,133.94068773510062
0000_0995_0993.png,995,993,148.23179383198652
0000_0995_0994.png,995,994,148.1918347448802
0000_0995_0995.png,995,995,146.1978513688423
0000_0995_0996.png,995,996,146.17494776792648
